permit type,street number,street suffix,current status,number of existing stories,number of proposed stories,estimated cost,revised cost,existing use,existing units,proposed use,proposed units,plansets,existing construction type,proposed construction type,supervisor district,neighborhoods - analysis boundaries,zipcode,if_permit_created_on_file_date,if_completed,if_first_construc_is_issue_date,diff_permit_date,expired_before_completed,ratio_stories,existing_proposed_construction_type,ratio_estimated_revised,ratio_existing_proposed_units,latitude,longitude,permit creation date_col,current status date_col,filed date_col,issued date_col,completed date_col,first construction document date_col,permit expiration date_col
3,0.2621051347725332,12,5,3.0,3.0,100000.0,125000.0,6,6.0,6,6.0,2.0,5.0,5.0,3.0,30,94133.0,True,False,True,-1160 days,False,1.0,True,0.8,1.0,37.802405951667645,-122.41446286561653,736542,736542,736542,735022,734948,735022,735382
8,0.3443102817416758,12,6,19.0,19.0,10000.0,1.0,31,70.0,28,6.0,2.0,1.0,1.0,2.0,16,94123.0,True,False,True,-1166 days,False,1.0,True,10000.0,11.666666666666666,37.79697456740493,-122.44615769723546,736548,736548,736548,736548,734948,736548,735382
8,0.0,4,6,4.0,4.0,64650.0,64650.0,6,9.0,6,9.0,0.0,5.0,5.0,2.0,16,94123.0,True,False,True,365 days,False,1.0,True,1.0,1.0,37.79739093461306,-122.43127133823367,736549,736549,736549,736549,734948,736549,736914
8,0.17489937797292354,1,6,2.0,2.0,7000.0,7000.0,0,1.0,0,1.0,0.0,5.0,5.0,4.0,33,94122.0,True,False,True,184 days,False,1.0,True,1.0,1.0,37.76052279949518,-122.4879889739165,736557,736557,736557,736557,734948,736557,736741
8,0.0402488108305891,1,6,4.0,4.0,100000.0,1.0,17,1.0,19,0.0,2.0,4.0,5.0,1.0,24,94121.0,True,False,True,-1177 days,False,1.0,False,100000.0,inf,37.78177022745135,-122.47658979438802,736559,736559,736559,736559,734948,736559,735382
8,0.014513965117697281,12,6,7.0,7.0,3500.0,1.0,12,9.0,28,8.0,0.0,3.0,5.0,5.0,15,94117.0,True,False,True,-1180 days,False,1.0,False,3500.0,1.125,37.77371007080848,-122.45243180846707,736562,736562,736562,736562,734948,736562,735382
8,0.18429076716672765,1,6,5.0,5.0,15000.0,1.0,44,19.0,51,18.0,2.0,5.0,5.0,7.0,11,94122.0,True,False,True,-1180 days,False,1.0,True,15000.0,1.0555555555555556,37.760252335082875,-122.4625393396095,736562,736562,736562,736562,734948,736562,735382
8,0.02000243932186852,12,6,5.0,5.0,1.0,1.0,11,14.0,11,12.0,2.0,5.0,5.0,3.0,34,94102.0,True,False,True,-1181 days,False,1.0,True,1.0,1.1666666666666667,37.78625524960107,-122.40834431815433,736563,736563,736563,736563,734948,736563,735382
8,0.1756311745334797,12,6,3.0,3.0,2000.0,1.0,44,2.0,32,1.0,2.0,3.0,5.0,3.0,19,94133.0,True,False,True,-1182 days,False,1.0,False,2000.0,2.0,37.79566333315149,-122.41363462406336,736564,736564,736564,736564,734948,736564,735382
8,0.46700817172825954,12,6,25.0,25.0,5000.0,1.0,44,27.0,51,32.0,2.0,5.0,3.0,8.0,2,94114.0,True,False,True,-1182 days,False,1.0,False,5000.0,0.84375,37.761512899115466,-122.42911964946909,736564,736564,736564,736564,734948,736564,735382
8,0.06854494450542749,12,6,35.0,36.0,70000.0,0.0,44,10.0,19,12.0,0.0,5.0,3.0,9.0,17,94110.0,True,False,True,-1182 days,False,0.9722222222222222,False,inf,0.8333333333333334,37.75771026684177,-122.4175528755785,736564,736564,736564,736564,734948,736564,735382
3,0.009147457006952069,12,1,3.0,3.0,73000.0,73000.0,6,6.0,6,6.0,2.0,5.0,5.0,6.0,5,94105.0,True,False,True,-1183 days,False,1.0,True,1.0,1.0,37.78595425737664,-122.39444130117158,736565,736677,736565,735022,734948,735022,735382
8,0.22063666300768386,12,6,4.0,3.0,15775.0,1.0,44,1.0,51,0.0,2.0,1.0,1.0,8.0,17,94103.0,True,False,True,-1184 days,False,1.3333333333333333,True,15775.0,inf,37.766508011617525,-122.42470825254468,736566,736566,736566,736566,734948,736566,735382
8,0.1761190389071838,12,6,4.0,4.0,2000.0,1.0,14,0.0,15,0.0,2.0,3.0,3.0,5.0,39,94115.0,True,False,True,-1184 days,False,1.0,True,2000.0,,37.7813061748427,-122.43142154292566,736566,736566,736566,736566,734948,736566,735382
8,0.1685571411147701,12,6,4.0,4.0,10000.0,1.0,44,0.0,51,0.0,2.0,3.0,5.0,8.0,20,94114.0,True,False,True,-1187 days,False,1.0,False,10000.0,,37.748779856735744,-122.42683572581998,736569,736569,736569,736569,734948,736569,735382
8,0.08293694352969874,1,6,1.0,1.0,1.0,1.0,53,2.0,23,2.0,2.0,5.0,5.0,8.0,1,94110.0,True,False,True,-1188 days,False,1.0,True,1.0,1.0,37.74446179156465,-122.42217241874201,736570,736570,736570,736570,734948,736570,735382
8,0.07378948652274667,1,6,17.0,17.0,9800.0,1.0,26,38.0,51,42.0,0.0,5.0,5.0,1.0,24,94121.0,True,False,True,-1188 days,False,1.0,True,9800.0,0.9047619047619048,37.77767213358907,-122.48966493609916,736570,736570,736570,736570,734948,736570,735382
8,0.07976582510062202,1,6,5.0,5.0,30000.0,0.0,23,154.0,51,147.0,2.0,5.0,5.0,3.0,3,94133.0,True,False,True,-1197 days,False,1.0,True,inf,1.0476190476190477,37.79673343870443,-122.40610115140781,736579,736579,736579,736579,734948,736579,735382
8,0.40541529454811565,12,6,3.0,3.0,3700.0,1.0,23,3.0,27,0.0,2.0,2.0,2.0,2.0,16,94123.0,True,False,True,-1198 days,False,1.0,True,3700.0,inf,37.80002156448977,-122.43806594677513,736580,736580,736580,736580,734948,736580,735382
8,0.08525429930479327,1,6,2.0,2.0,6000.0,1.0,59,0.0,65,0.0,2.0,5.0,4.0,1.0,24,94121.0,True,False,True,-1205 days,False,1.0,False,6000.0,,37.77554028396788,-122.49601102992328,736587,736587,736587,736587,734948,736587,735382
8,0.030247591169654836,1,5,3.0,3.0,18000.0,0.0,6,6.0,6,6.0,2.0,5.0,5.0,1.0,10,94118.0,True,False,True,-1205 days,False,1.0,True,inf,1.0,37.7839252036892,-122.46267353170244,736587,736587,736587,735022,734948,735022,735382
8,0.2900353701670936,12,6,2.0,4.0,4000.0,1.0,44,0.0,67,0.0,2.0,2.0,2.0,2.0,25,94115.0,True,False,True,-1209 days,False,0.5,True,4000.0,,37.792266300903314,-122.4340191358936,736591,736591,736591,736591,734948,736591,735382
8,0.03000365898280278,1,6,3.0,3.0,100000.0,1.0,44,0.0,32,1.0,2.0,5.0,5.0,7.0,22,94132.0,True,False,True,-1211 days,False,1.0,True,100000.0,0.0,37.70944796125683,-122.4690186732598,736593,736593,736593,736593,734948,736593,735382
8,0.34662763751677034,12,6,4.0,4.0,2400.0,1.0,61,1.0,51,0.0,2.0,2.0,5.0,2.0,16,94123.0,True,False,True,-1217 days,False,1.0,False,2400.0,inf,37.79686934709798,-122.43412132328224,736599,736599,736599,736599,734948,736599,735382
8,0.31881936821563606,12,6,4.0,4.0,5000.0,1.0,23,99.0,61,87.0,2.0,5.0,4.0,2.0,25,94123.0,True,False,True,-1218 days,False,1.0,False,5000.0,1.1379310344827587,37.79391508281414,-122.44195481827035,736600,736600,736600,736600,734948,736600,735382
8,0.030613489449932918,12,6,2.0,2.0,1.0,1.0,27,10.0,32,8.0,0.0,5.0,4.0,11.0,23,94112.0,True,False,True,-1224 days,False,1.0,False,1.0,1.25,37.729885737657085,-122.43669590253097,736606,736606,736606,736606,734948,736606,735382
8,0.11428222954018782,12,3,2.0,2.0,14000.0,14000.0,0,1.0,0,1.0,0.0,5.0,5.0,9.0,26,94134.0,True,True,True,182 days,False,1.0,True,1.0,1.0,37.72775517946509,-122.41419227409298,736613,736633,736613,736613,736633,736613,736795
8,0.06512989388949872,1,6,17.0,16.0,15000.0,1.0,26,37.0,51,36.0,2.0,5.0,5.0,1.0,24,94118.0,True,False,True,-1231 days,False,1.0625,True,15000.0,1.0277777777777777,37.777944902487455,-122.47412411653805,736613,736613,736613,736613,734948,736613,735382
