permit type,street number,street suffix,current status,number of existing stories,number of proposed stories,estimated cost,revised cost,existing use,existing units,proposed use,proposed units,plansets,existing construction type,proposed construction type,supervisor district,neighborhoods - analysis boundaries,zipcode,if_permit_created_on_file_date,if_completed,if_first_construc_is_issue_date,diff_permit_date,expired_before_completed,ratio_stories,existing_proposed_construction_type,ratio_estimated_revised,ratio_existing_proposed_units,latitude,longitude,permit creation date_col,current status date_col,filed date_col,issued date_col,completed date_col,first construction document date_col,permit expiration date_col
8,0.32357604585925115,12,3,3.0,3.0,3700.0,3700.0,6,6.0,6,6.0,2.0,3.0,3.0,2.0,16,94123.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.79795802549591,-122.42700327587839,734883,734948,734883,734883,734948,734883,735243
8,0.282961336748384,12,6,2.0,2.0,1.0,6500.0,0,1.0,0,1.0,0.0,5.0,5.0,8.0,2,94114.0,True,False,True,363 days,False,1.0,True,0.00015384615384615385,1.0,37.765447452741384,-122.43639051620804,734883,734886,734883,734886,734948,734886,735246
8,0.029149896328820587,1,3,2.0,2.0,12000.0,12000.0,0,1.0,0,1.0,2.0,5.0,5.0,8.0,2,94114.0,True,True,True,360 days,True,1.0,True,1.0,1.0,37.75950894301124,-122.4436969002999,734883,735449,734883,734883,735449,734883,735243
8,0.027320404927430174,12,3,22.0,22.0,1612960.0,1612960.0,35,0.0,42,0.0,2.0,1.0,1.0,3.0,5,94104.0,True,True,True,1110 days,False,1.0,True,1.0,,37.79075609626243,-122.40163095635359,734883,735078,734883,734913,735078,734913,735993
8,0.0020734235882424686,12,3,1.0,1.0,4000.0,4000.0,47,0.0,24,0.0,2.0,3.0,3.0,6.0,32,94103.0,True,True,True,360 days,False,1.0,True,1.0,,37.77409588871394,-122.41354691209568,734883,734892,734883,734883,734892,734883,735243
8,0.029149896328820587,12,5,4.0,4.0,36000.0,0.0,47,0.0,54,0.0,2.0,3.0,3.0,3.0,5,94108.0,True,False,True,499 days,False,1.0,True,inf,,37.78888038202636,-122.4059198255557,734883,734883,734883,735022,734948,735022,735382
8,0.07915599463349189,12,3,2.0,2.0,10000.0,12000.0,1,2.0,1,2.0,0.0,5.0,5.0,9.0,1,94110.0,True,True,True,360 days,False,1.0,True,0.8333333333333334,1.0,37.73550220740108,-122.41704602833724,734883,734928,734883,734883,734928,734883,735243
8,0.36333699231613614,12,3,3.0,3.0,65000.0,65000.0,0,1.0,0,1.0,2.0,5.0,5.0,2.0,25,94123.0,True,True,True,362 days,False,1.0,True,1.0,1.0,37.7941152043314,-122.44621968378429,734883,735165,734883,734885,735165,734885,735245
8,0.010854982314916455,12,5,15.0,15.0,3000.0,0.0,47,0.0,54,0.0,2.0,1.0,1.0,6.0,5,94105.0,True,False,True,499 days,False,1.0,True,inf,,37.78742256247351,-122.40093229776461,734883,734883,734883,735022,734948,735022,735382
8,0.00597633857787535,12,3,42.0,42.0,1389225.0,2000000.0,35,0.0,42,0.0,2.0,1.0,1.0,6.0,5,94105.0,True,True,True,1096 days,False,1.0,True,0.6946125,,37.79057144260876,-122.39756503160109,734883,735669,734883,734899,735669,734899,735979
8,0.10550067081351384,2,3,2.0,2.0,21000.0,21000.0,0,1.0,0,1.0,0.0,5.0,5.0,7.0,38,94127.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.731600794559114,-122.45520243720124,734883,734946,734883,734883,734946,734883,735243
8,0.036589828027808274,12,3,58.0,58.0,6000.0,6000.0,6,420.0,6,420.0,2.0,1.0,1.0,6.0,5,94105.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.790542489943704,-122.39592244144642,734883,734925,734883,734883,734925,734883,735243
8,0.036589828027808274,12,3,58.0,58.0,6000.0,6000.0,6,420.0,6,420.0,2.0,1.0,1.0,6.0,5,94105.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.790542489943704,-122.39592244144642,734883,734925,734883,734883,734925,734883,735243
8,0.3005244542017319,1,3,3.0,3.0,5900.0,5900.0,0,1.0,0,1.0,2.0,5.0,5.0,2.0,25,94115.0,True,True,True,402 days,True,1.0,True,1.0,1.0,37.79295301055501,-122.43569782191881,734883,735374,734883,734925,735374,734925,735285
8,0.010854982314916455,12,5,15.0,15.0,2500.0,0.0,47,0.0,54,0.0,2.0,1.0,1.0,6.0,5,94105.0,True,False,True,499 days,False,1.0,True,inf,,37.78742256247351,-122.40093229776461,734883,734883,734883,735022,734948,735022,735382
8,0.07317965605561653,12,3,20.0,20.0,34505.0,34505.0,35,0.0,42,0.0,2.0,1.0,1.0,3.0,3,94111.0,True,True,True,360 days,False,1.0,True,1.0,,37.79483606381786,-122.40352689683759,734883,734948,734883,734883,734948,734883,735243
8,0.07000853762653982,1,3,2.0,2.0,130000.0,130000.0,1,2.0,1,2.0,0.0,5.0,5.0,1.0,24,94121.0,True,True,True,1080 days,False,1.0,True,1.0,1.0,37.77820077432685,-122.49460336211146,734883,735411,734883,734883,735411,734883,735963
8,0.07025246981339188,1,3,2.0,2.0,130000.0,130000.0,1,2.0,1,2.0,0.0,5.0,5.0,1.0,24,94121.0,True,True,True,1080 days,False,1.0,True,1.0,1.0,37.77820077432685,-122.49460336211146,734883,735411,734883,734883,735411,734883,735963
8,0.012074643249176729,12,3,25.0,25.0,44805.0,44805.0,35,0.0,42,0.0,2.0,1.0,1.0,3.0,5,94104.0,True,True,True,360 days,False,1.0,True,1.0,,37.79034626076986,-122.40185018977482,734883,734897,734883,734883,734897,734883,735243
8,0.17575314062690572,12,3,4.0,4.0,16000.0,16000.0,6,3.0,6,3.0,0.0,5.0,5.0,5.0,11,94117.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.76351688185554,-122.45387386277798,734883,734995,734883,734883,734995,734883,735243
8,0.017929015733626052,15,3,2.0,2.0,6000.0,6000.0,0,1.0,0,1.0,0.0,5.0,5.0,7.0,36,94131.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.75487931817355,-122.44838444179697,734883,734954,734883,734883,734954,734883,735243
8,0.037565556775216495,12,3,2.0,2.0,21150.0,21150.0,0,1.0,0,1.0,0.0,5.0,5.0,9.0,1,94110.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.74543705803838,-122.40931955634179,734883,734948,734883,734883,734948,734883,735243
8,0.2194170020734236,12,6,4.0,4.0,200000.0,300000.0,35,1.0,42,1.0,2.0,2.0,2.0,9.0,17,94103.0,True,False,True,1109 days,False,1.0,True,0.6666666666666666,1.0,37.76781380350554,-122.42057378036043,734883,734912,734883,734912,734948,734912,735992
4,0.08403463837053299,12,5,25.0,24.0,5000.0,1.0,47,0.0,30,4.0,2.0,1.0,1.0,3.0,5,94104.0,True,False,True,499 days,False,1.0416666666666667,True,5000.0,0.0,37.78824234417909,-122.40320058742115,734883,734883,734883,735022,734948,735022,735382
8,0.04781070862300281,2,3,2.0,2.0,2000.0,5000.0,0,1.0,0,1.0,2.0,5.0,5.0,2.0,16,94123.0,True,True,True,380 days,False,1.0,True,0.4,1.0,37.805920788752694,-122.4393458952618,734883,735086,734883,734903,735086,734903,735263
8,0.3455299426759361,12,3,2.0,2.0,13750.0,13750.0,1,2.0,1,2.0,0.0,5.0,5.0,4.0,33,94122.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.7612579457159,-122.49263636896725,734883,734893,734883,734883,734893,734883,735243
4,0.08403463837053299,12,5,25.0,24.0,2500.0,30000.0,47,0.0,30,1.0,2.0,1.0,1.0,3.0,5,94104.0,True,False,True,499 days,False,1.0416666666666667,True,0.08333333333333333,0.0,37.78824234417909,-122.40320058742115,734883,734883,734883,735022,734948,735022,735382
4,0.08403463837053299,12,5,25.0,25.0,3000.0,1.0,47,0.0,30,4.0,2.0,1.0,1.0,3.0,5,94104.0,True,False,True,499 days,False,1.0,True,3000.0,0.0,37.78824234417909,-122.40320058742115,734883,734883,734883,735022,734948,735022,735382
8,0.10964751798999878,12,2,2.0,2.0,2000.0,2000.0,47,54.0,54,54.0,2.0,2.0,2.0,2.0,30,94109.0,True,False,True,375 days,False,1.0,True,1.0,1.0,37.80585791291859,-122.42292540394666,734883,736138,734883,734898,734948,734898,735258
8,0.021587998536406878,12,3,2.0,6.0,1500.0,1545.0,35,0.0,24,94.0,2.0,3.0,3.0,6.0,5,94107.0,True,True,True,361 days,False,0.3333333333333333,True,0.970873786407767,0.0,37.779734543368434,-122.39251096042491,734883,734912,734883,734884,734912,734884,735244
8,0.1000121966093426,12,3,3.0,3.0,8500.0,8500.0,6,4.0,6,4.0,0.0,5.0,5.0,3.0,3,94108.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.79560012837984,-122.40866246836127,734883,734939,734883,734883,734939,734883,735243
8,0.009269423100378095,12,3,2.0,2.0,7850.0,7850.0,0,1.0,0,1.0,0.0,5.0,5.0,9.0,1,94110.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.74186530794297,-122.41485692391736,734883,734885,734883,734883,734885,734883,735243
8,0.00012196609342602757,1,6,2.0,2.0,9500.0,9500.0,0,1.0,0,1.0,0.0,5.0,5.0,11.0,23,94112.0,True,False,True,360 days,False,1.0,True,1.0,1.0,37.71738329925055,-122.44698065682012,734883,734883,734883,734883,734948,734883,735243
8,0.345164044395658,12,3,3.0,3.0,5000.0,5000.0,6,6.0,6,6.0,0.0,5.0,5.0,2.0,16,94123.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.796757291404724,-122.43404540659978,734883,734924,734883,734883,734924,734883,735243
8,0.013416270276863033,1,6,2.0,2.0,6000.0,6000.0,0,1.0,0,1.0,0.0,5.0,5.0,1.0,10,94118.0,True,False,True,360 days,False,1.0,True,1.0,1.0,37.786185819359595,-122.4692367354495,734883,734883,734883,734883,734948,734883,735243
8,0.0002439321868520551,4,3,2.0,2.0,6700.0,6700.0,0,1.0,0,1.0,0.0,5.0,5.0,10.0,0,94124.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.734125760360065,-122.38540309010735,734883,734885,734883,734883,734885,734883,735243
8,0.010854982314916455,12,3,2.0,2.0,7800.0,7800.0,0,1.0,0,1.0,0.0,5.0,5.0,10.0,0,94124.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.7329823514789,-122.3942217171187,734883,734886,734883,734883,734886,734883,735243
8,0.14343212586900841,12,5,18.0,18.0,300.0,0.0,6,254.0,6,254.0,2.0,1.0,1.0,3.0,19,94108.0,True,False,True,499 days,False,1.0,True,inf,1.0,37.790990068003865,-122.41365834966136,734883,734883,734883,735022,734948,735022,735382
8,0.03305281131845347,12,3,4.0,4.0,3000.0,3000.0,6,5.0,6,5.0,0.0,5.0,5.0,5.0,8,94117.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.771707537785915,-122.43683298133863,734883,734989,734883,734883,734989,734883,735243
8,0.034028540065861694,2,3,1.0,1.0,300.0,300.0,58,0.0,64,0.0,0.0,5.0,5.0,9.0,1,94110.0,True,True,True,361 days,False,1.0,True,1.0,,37.74349533382869,-122.4053237408065,734883,734885,734883,734884,734885,734884,735244
8,0.016343456519087692,12,3,22.0,22.0,460000.0,1000000.0,35,10.0,42,10.0,2.0,1.0,1.0,6.0,5,94105.0,True,True,True,1101 days,False,1.0,True,0.46,1.0,37.791528221035364,-122.39400746643078,734883,735008,734883,734904,735008,734904,735984
8,0.2216123917550921,1,3,2.0,2.0,35000.0,35000.0,0,1.0,0,1.0,0.0,5.0,5.0,4.0,33,94122.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.75327251263997,-122.4889666142435,734883,734987,734883,734883,734987,734883,735243
8,0.41700207342358825,12,3,3.0,3.0,20000.0,21500.0,0,1.0,0,1.0,0.0,5.0,5.0,2.0,16,94123.0,True,True,True,360 days,False,1.0,True,0.9302325581395349,1.0,37.802684806910975,-122.4465059055038,734883,735150,734883,734883,735150,734883,735243
8,0.38773021100134164,12,11,3.0,3.0,4500.0,0.0,35,0.0,42,0.0,2.0,5.0,5.0,9.0,17,94110.0,True,False,True,499 days,False,1.0,True,inf,,37.76238520483805,-122.41459406159578,734883,735199,734883,735022,734948,735022,735382
3,0.030247591169654836,12,3,3.0,3.0,42000.0,42000.0,6,3.0,6,3.0,2.0,5.0,5.0,8.0,2,94114.0,True,True,False,482 days,True,1.0,True,1.0,1.0,37.758380436339024,-122.43663644232495,734883,735494,734883,735005,735494,735316,735365
3,0.03049152335650689,12,3,3.0,3.0,42000.0,42000.0,6,3.0,6,3.0,2.0,5.0,5.0,8.0,2,94114.0,True,True,False,482 days,True,1.0,True,1.0,1.0,37.758380436339024,-122.43663644232495,734883,735494,734883,735005,735494,735316,735365
8,0.34479814611537996,12,6,3.0,3.0,24000.0,24000.0,6,8.0,6,8.0,2.0,5.0,5.0,2.0,16,94123.0,True,False,True,360 days,False,1.0,True,1.0,1.0,37.79790114521417,-122.44637813901588,734883,734883,734883,734883,734948,734883,735243
3,0.030735455543358946,12,3,3.0,3.0,42000.0,42000.0,6,3.0,6,3.0,2.0,5.0,5.0,8.0,2,94114.0,True,True,False,482 days,True,1.0,True,1.0,1.0,37.758380436339024,-122.43663644232495,734883,735494,734883,735005,735494,735316,735365
8,0.3687035004268813,12,3,3.0,3.0,11000.0,1.0,1,2.0,1,2.0,2.0,5.0,5.0,2.0,16,94123.0,True,True,True,360 days,False,1.0,True,11000.0,1.0,37.79926947299598,-122.43059968576937,734883,734941,734883,734883,734941,734883,735243
8,0.4878643737041103,12,3,1.0,1.0,3700.0,3700.0,21,0.0,24,0.0,2.0,5.0,5.0,4.0,33,94122.0,True,True,True,362 days,False,1.0,True,1.0,,37.76025200915792,-122.50501898339044,734883,734954,734883,734885,734954,734885,735245
8,0.049884132211245276,1,3,2.0,2.0,4000.0,4000.0,0,1.0,0,1.0,0.0,5.0,5.0,8.0,20,94114.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.75046199519314,-122.44085156207863,734883,734918,734883,734883,734918,734883,735243
8,0.006708135138431516,12,3,3.0,3.0,160000.0,160000.0,1,2.0,1,2.0,2.0,5.0,5.0,8.0,2,94114.0,True,True,True,1102 days,False,1.0,True,1.0,1.0,37.760630556404294,-122.4438018732918,734883,735141,734883,734905,735141,734905,735985
8,0.006952067325283571,12,3,3.0,3.0,160000.0,160000.0,1,2.0,1,2.0,2.0,5.0,5.0,8.0,2,94114.0,True,True,True,1102 days,False,1.0,True,1.0,1.0,37.760630556404294,-122.4438018732918,734883,735141,734883,734905,735141,734905,735985
8,0.22954018782778388,1,3,2.0,2.0,3900.0,3900.0,0,1.0,0,1.0,0.0,5.0,5.0,4.0,33,94122.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.752477888227254,-122.48199252779759,734883,734903,734883,734883,734903,734883,735243
8,0.0437858275399439,12,3,7.0,7.0,7000.0,7000.0,35,0.0,42,0.0,2.0,1.0,1.0,6.0,32,94107.0,True,True,True,362 days,False,1.0,True,1.0,,37.782701643645574,-122.3983287790941,734883,734984,734883,734885,734984,734885,735245
8,0.012074643249176729,1,6,10.0,9.0,5000.0,1.0,51,3.0,28,9.0,2.0,5.0,5.0,6.0,34,94102.0,True,False,True,499 days,False,1.1111111111111112,True,5000.0,0.3333333333333333,37.77672111209207,-122.41917732402358,734883,734883,734883,734883,734948,734883,735382
8,0.2947920478107086,12,3,2.0,2.0,60000.0,80000.0,0,1.0,0,1.0,2.0,5.0,5.0,1.0,24,94121.0,True,True,True,373 days,True,1.0,True,0.75,1.0,37.776562204080314,-122.48494622796639,734883,735632,734883,734896,735632,734896,735256
8,0.02439321868520551,12,3,10.0,10.0,14000.0,18276.77,6,288.0,6,288.0,0.0,2.0,2.0,6.0,5,94105.0,True,True,True,361 days,False,1.0,True,0.7659996815629895,1.0,37.78758844118285,-122.39047271221516,734883,734991,734883,734884,734991,734884,735244
8,0.019392608854738383,1,6,4.0,4.0,1500.0,1500.0,35,53.0,42,53.0,2.0,1.0,1.0,3.0,5,94111.0,True,False,True,361 days,False,1.0,True,1.0,1.0,37.79825337200927,-122.39917213344498,734883,734884,734883,734884,734948,734884,735244
8,0.08623002805220148,12,6,2.0,2.0,4000.0,1.0,26,0.0,9,0.0,2.0,5.0,5.0,5.0,8,94117.0,True,False,True,499 days,False,1.0,True,4000.0,,37.768409760292236,-122.45019799326093,734883,734883,734883,734883,734948,734883,735382
8,0.5026222710086595,12,6,2.0,2.0,2000.0,1.0,14,0.0,65,1.0,0.0,5.0,5.0,8.0,20,94114.0,True,False,True,499 days,False,1.0,True,2000.0,0.0,37.7484359250002,-122.43218144861675,734883,734883,734883,734883,734948,734883,735382
8,0.5028662031955116,12,6,6.0,5.0,100000.0,1.0,30,0.0,35,1.0,2.0,5.0,5.0,8.0,20,94114.0,True,False,True,499 days,False,1.2,True,100000.0,0.0,37.7484359250002,-122.43218144861675,734883,734883,734883,734883,734948,734883,735382
8,0.0437858275399439,12,6,4.0,4.0,1000.0,1.0,36,0.0,43,2.0,2.0,5.0,4.0,5.0,8,94117.0,True,False,True,499 days,False,1.0,False,1000.0,0.0,37.77304890306759,-122.4370732114852,734883,734883,734883,734883,734948,734883,735382
8,0.12550311013538237,12,3,3.0,3.0,7500.0,7500.0,6,6.0,6,6.0,0.0,5.0,5.0,5.0,9,94117.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.77469283468064,-122.43489627175302,734883,734886,734883,734883,734886,734883,735243
8,0.190145139651177,12,3,5.0,5.0,10000.0,10000.0,21,48.0,24,48.0,2.0,3.0,3.0,5.0,39,94115.0,True,True,True,362 days,False,1.0,True,1.0,1.0,37.784063116547316,-122.43256637989737,734883,735141,734883,734885,735141,734885,735245
8,0.001341627027686303,13,3,1.0,1.0,15000.0,30000.0,0,1.0,0,1.0,2.0,5.0,5.0,11.0,23,94112.0,True,True,True,361 days,False,1.0,True,0.5,1.0,37.71949244420997,-122.44137321066292,734883,735009,734883,734884,735009,734884,735244
8,0.0037809488962068545,12,5,2.0,2.0,1.0,0.0,0,1.0,0,1.0,2.0,5.0,5.0,9.0,1,94110.0,True,False,True,499 days,False,1.0,True,inf,1.0,37.73829441270458,-122.41856772561752,734883,734883,734883,735022,734948,735022,735382
8,0.05415294548115624,15,6,15.0,15.0,6000.0,1.0,26,41.0,30,44.0,2.0,5.0,5.0,8.0,2,94114.0,True,False,True,499 days,False,1.0,True,6000.0,0.9318181818181818,37.7639790261224,-122.44263574256856,734883,734883,734883,734883,734948,734883,735382
8,0.4679839004756678,12,3,3.0,3.0,2500.0,2500.0,21,2.0,24,2.0,2.0,5.0,5.0,8.0,20,94114.0,True,True,True,362 days,False,1.0,True,1.0,1.0,37.751832368384065,-122.42832771194217,734883,735040,734883,734885,735040,734885,735245
8,0.46847176484937186,12,3,3.0,3.0,2500.0,2500.0,21,2.0,24,2.0,2.0,5.0,5.0,8.0,20,94114.0,True,True,True,362 days,False,1.0,True,1.0,1.0,37.751832368384065,-122.42832771194217,734883,735040,734883,734885,735040,734885,735245
8,0.017197219173069885,12,3,2.0,2.0,1000.0,1000.0,35,0.0,42,0.0,2.0,2.0,2.0,6.0,5,94105.0,True,True,True,370 days,False,1.0,True,1.0,,37.786823293440875,-122.4004906043887,734883,734982,734883,734893,734982,734893,735253
8,0.17880229296255643,1,3,2.0,2.0,30000.0,55000.0,0,1.0,0,1.0,2.0,5.0,5.0,4.0,33,94122.0,True,True,True,416 days,False,1.0,True,0.5454545454545454,1.0,37.759690443379334,-122.49436532924855,734883,735198,734883,734939,735198,734939,735299
8,0.2371020856201976,1,4,4.0,4.0,3000.0,4500.0,6,12.0,6,12.0,0.0,5.0,5.0,2.0,25,94109.0,True,False,True,360 days,False,1.0,True,0.6666666666666666,1.0,37.79401934118576,-122.42728019724701,734883,735865,734883,734883,734948,734883,735243
8,0.1048908403463837,1,3,2.0,3.0,1.0,1.0,0,1.0,0,1.0,0.0,5.0,5.0,1.0,24,94121.0,True,True,True,360 days,False,0.6666666666666666,True,1.0,1.0,37.77259606051198,-122.4995673991835,734883,734940,734883,734883,734940,734883,735243
8,0.017197219173069885,12,3,2.0,2.0,7000.0,34700.0,35,0.0,42,0.0,2.0,2.0,2.0,6.0,5,94105.0,True,True,True,375 days,False,1.0,True,0.2017291066282421,,37.786823293440875,-122.4004906043887,734883,734982,734883,734898,734982,734898,735258
8,0.002561287961946579,12,6,2.0,2.0,5000.0,5000.0,0,1.0,0,1.0,2.0,5.0,5.0,8.0,2,94114.0,True,False,True,361 days,False,1.0,True,1.0,1.0,37.75778818794627,-122.44264042753443,734883,734884,734883,734884,734948,734884,735244
8,0.15282351506281255,1,3,2.0,2.0,1700.0,1700.0,0,1.0,0,1.0,0.0,5.0,5.0,7.0,38,94112.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.72512187707459,-122.45620871195618,734883,734891,734883,734883,734891,734883,735243
8,0.1486766678863276,1,6,4.0,4.0,1.0,1.0,14,0.0,65,3.0,2.0,1.0,1.0,5.0,11,94122.0,True,False,True,499 days,False,1.0,True,1.0,0.0,37.765501505876266,-122.46608376737706,734883,734883,734883,734883,734948,734883,735382
8,0.1048908403463837,1,3,2.0,3.0,1.0,1.0,0,1.0,0,1.0,0.0,5.0,5.0,1.0,24,94121.0,True,True,True,360 days,False,0.6666666666666666,True,1.0,1.0,37.77259606051198,-122.4995673991835,734883,734940,734883,734883,734940,734883,735243
8,0.1048908403463837,1,3,2.0,3.0,1.0,1.0,0,1.0,0,1.0,0.0,5.0,5.0,1.0,24,94121.0,True,True,True,360 days,False,0.6666666666666666,True,1.0,1.0,37.77259606051198,-122.4995673991835,734883,734940,734883,734883,734940,734883,735243
3,0.15233565068910843,12,3,4.0,4.0,10000.0,20000.0,35,0.0,42,0.0,2.0,2.0,2.0,10.0,0,94107.0,True,True,True,439 days,False,1.0,True,0.5,,37.75059880365387,-122.39569436895611,734883,735295,734883,734962,735295,734962,735322
8,0.018416880107330162,12,3,2.0,2.0,35000.0,35000.0,0,1.0,0,1.0,2.0,5.0,5.0,8.0,2,94114.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.759797471919015,-122.43849621853032,734884,735086,734884,734884,735086,734884,735244
8,0.054030979387730216,12,3,2.0,2.0,700000.0,700000.0,35,0.0,42,0.0,2.0,3.0,3.0,10.0,27,94107.0,True,True,True,1095 days,False,1.0,True,1.0,,37.764169213087676,-122.40202096885237,734884,735058,734884,734899,735058,734899,735979
6,0.5336016587388706,12,6,3.0,3.0,20000.0,20000.0,0,1.0,0,1.0,0.0,5.0,5.0,8.0,20,94114.0,True,False,True,929 days,False,1.0,True,1.0,1.0,37.75117041145793,-122.44014612467534,734884,735633,734884,735633,734948,735633,735813
8,0.14623734601780705,12,6,5.0,5.0,1000.0,1.0,14,2.0,15,2.0,2.0,4.0,5.0,3.0,19,94109.0,True,False,True,498 days,False,1.0,False,1000.0,1.0,37.791671734427815,-122.41452456449726,734884,734884,734884,734884,734948,734884,735382
8,0.16258080253689475,12,6,2.0,2.0,7500.0,7500.0,1,2.0,1,2.0,0.0,5.0,5.0,9.0,17,94110.0,True,False,True,360 days,False,1.0,True,1.0,1.0,37.75078177826152,-122.40736666311108,734884,734884,734884,734884,734948,734884,735244
8,0.1628247347237468,12,6,2.0,2.0,7500.0,7500.0,1,2.0,1,2.0,0.0,5.0,5.0,9.0,17,94110.0,True,False,True,360 days,False,1.0,True,1.0,1.0,37.75078177826152,-122.40736666311108,734884,734884,734884,734884,734948,734884,735244
8,0.3680936699597512,2,6,4.0,4.0,1.0,1.0,10,6.0,33,6.0,2.0,3.0,5.0,1.0,15,94118.0,True,False,True,498 days,False,1.0,False,1.0,1.0,37.78159504677418,-122.45145368114638,734884,734884,734884,734884,734948,734884,735382
8,0.2791803878521771,12,3,4.0,4.0,75000.0,90000.0,6,84.0,6,84.0,0.0,5.0,5.0,3.0,21,94133.0,True,True,True,360 days,False,1.0,True,0.8333333333333334,1.0,37.80655414175002,-122.40993708658227,734884,734927,734884,734884,734927,734884,735244
8,0.02000243932186852,12,3,4.0,4.0,75000.0,90000.0,6,84.0,6,84.0,0.0,5.0,5.0,3.0,21,94133.0,True,True,True,360 days,False,1.0,True,0.8333333333333334,1.0,37.80655414175002,-122.40993708658227,734884,734927,734884,734884,734927,734884,735244
8,0.16245883644346873,12,6,2.0,2.0,4000.0,1.0,0,1.0,0,1.0,2.0,5.0,5.0,2.0,29,94115.0,True,False,True,498 days,False,1.0,True,4000.0,1.0,37.783169303211956,-122.4450206616746,734884,734884,734884,734884,734948,734884,735382
8,0.24783510184168803,12,6,29.0,30.0,10000.0,1.0,42,12.0,49,24.0,0.0,3.0,5.0,3.0,30,94133.0,True,False,True,498 days,False,0.9666666666666667,False,10000.0,0.5,37.80119865331373,-122.41466898970413,734884,734884,734884,734884,734948,734884,735382
8,0.030369557263080865,12,3,15.0,15.0,66577.0,66577.0,35,0.0,42,0.0,2.0,1.0,1.0,3.0,5,94104.0,True,True,True,368 days,False,1.0,True,1.0,,37.79158273098977,-122.40227553773153,734884,735046,734884,734892,735046,734892,735252
8,0.02439321868520551,12,6,2.0,2.0,1.0,1.0,10,3.0,32,2.0,2.0,5.0,5.0,5.0,9,94102.0,True,False,True,498 days,False,1.0,True,1.0,1.5,37.77182552765158,-122.42720297611135,734884,734884,734884,734884,734948,734884,735382
6,0.6367849737772898,12,3,1.0,1.0,15000.0,15000.0,0,1.0,48,1.0,0.0,5.0,5.0,10.0,0,94124.0,True,True,True,180 days,True,1.0,True,1.0,1.0,37.73033100408184,-122.39267350845414,734884,735325,734884,734884,735325,734884,735064
8,0.015733626051957553,12,3,4.0,4.0,25000.0,40000.0,6,22.0,6,22.0,2.0,5.0,5.0,5.0,8,94117.0,True,True,True,360 days,False,1.0,True,0.625,1.0,37.76752225774215,-122.44580785375464,734884,734945,734884,734884,734945,734884,735244
8,0.15428710818392488,12,6,4.0,4.0,1.0,1.0,0,1.0,6,3.0,2.0,5.0,5.0,8.0,20,94114.0,True,False,True,360 days,False,1.0,True,1.0,0.3333333333333333,37.74908492804427,-122.42527251669694,734884,734884,734884,734884,734948,734884,735244
8,0.07683863885839737,12,3,20.0,20.0,1000.0,1000.0,6,186.0,6,186.0,2.0,3.0,3.0,6.0,34,94109.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.78524026874924,-122.41512046342635,734884,734904,734884,734884,734904,734884,735244
8,0.24015123795584828,12,3,3.0,3.0,3500.0,3500.0,6,12.0,6,12.0,2.0,5.0,5.0,5.0,15,94117.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.772738186721,-122.45028137350992,734884,734987,734884,734884,734987,734884,735244
8,0.01756311745334797,1,3,2.0,2.0,18000.0,32000.0,0,1.0,0,1.0,2.0,5.0,5.0,7.0,38,94116.0,True,True,True,360 days,False,1.0,True,0.5625,1.0,37.74851816243563,-122.461423836802,734884,734998,734884,734884,734998,734884,735244
8,0.22575923893157704,12,6,1.0,1.0,1.0,1.0,37,0.0,32,0.0,2.0,3.0,5.0,5.0,15,94117.0,True,False,True,498 days,False,1.0,False,1.0,,37.775028770560596,-122.44729230309808,734884,734884,734884,734884,734948,734884,735382
8,0.2260031711184291,12,6,3.0,3.0,1.0,1.0,48,0.0,56,0.0,2.0,1.0,1.0,5.0,15,94117.0,True,False,True,498 days,False,1.0,True,1.0,,37.775028770560596,-122.44729230309808,734884,734884,734884,734884,734948,734884,735382
8,0.013294304183437005,12,6,2.0,2.0,2000.0,1.0,36,0.0,43,0.0,2.0,3.0,5.0,5.0,9,94117.0,True,False,True,498 days,False,1.0,False,2000.0,,37.770322986255195,-122.43151448220596,734884,734884,734884,734884,734948,734884,735382
